piece_id,composer,annotator,hand,seq_pos,midi,pitch_class,is_black,prev_interval,next_interval,is_chord,prev_finger,was_substitution,finger
001,Bach,1,R,0,60,0,0,0,2,0,0,0,1
001,Bach,1,R,1,62,2,0,2,2,0,1,0,2
001,Bach,1,R,2,64,4,0,2,1,0,2,0,3
001,Bach,1,R,3,65,5,0,1,-3,0,3,0,4
001,Bach,1,R,4,62,2,0,-3,2,0,4,0,2
001,Bach,1,R,5,64,4,0,2,-4,0,2,0,3
001,Bach,1,R,6,60,0,0,-4,7,0,3,0,1
001,Bach,1,R,7,67,7,0,7,5,0,1,1,4
001,Bach,1,R,8,72,0,0,5,-1,0,4,0,4
001,Bach,1,R,9,71,11,0,-1,-2,0,4,0,3
001,Bach,1,R,10,69,9,0,-2,2,0,3,0,2
001,Bach,1,R,11,71,11,0,2,1,0,2,0,3
001,Bach,1,R,12,72,0,0,1,2,0,3,0,4
001,Bach,1,R,13,74,2,0,2,-7,0,4,0,5
001,Bach,1,R,14,67,7,0,-7,2,0,5,0,1
001,Bach,1,R,15,69,9,0,2,2,0,1,0,2
001,Bach,1,R,16,71,11,0,2,1,0,2,0,3
001,Bach,1,R,17,72,0,0,1,-3,0,3,0,4
001,Bach,1,R,18,69,9,0,-3,2,0,4,0,2
001,Bach,1,R,19,71,11,0,2,-4,0,2,0,3
001,Bach,1,R,20,67,7,0,-4,7,0,3,0,1
001,Bach,1,R,21,74,2,0,7,5,0,1,1,4
001,Bach,1,R,22,79,7,0,5,-2,0,4,0,4
001,Bach,1,R,23,77,5,0,-2,-1,0,4,0,3
001,Bach,1,R,24,76,4,0,-1,1,0,3,0,2
001,Bach,1,R,25,77,5,0,1,2,0,2,0,3
001,Bach,1,R,26,79,7,0,2,-3,0,3,0,4
001,Bach,1,R,27,76,4,0,-3,5,0,4,0,2
001,Bach,1,R,28,81,9,0,5,-2,0,2,0,5
001,Bach,1,R,29,79,7,0,-2,-2,0,5,0,4
